index,transportmean_name,line_number,line_name,order_number,stop_name
0,METRO,1,Pinar de Chamartín-Valdecarros,0,Pinar de Chamartín
1,METRO,1,Pinar de Chamartín-Valdecarros,1,Bambú
2,METRO,1,Pinar de Chamartín-Valdecarros,2,Chamartín
3,METRO,1,Pinar de Chamartín-Valdecarros,3,Plaza de Castilla
4,METRO,1,Pinar de Chamartín-Valdecarros,4,Valdeacederas
5,METRO,1,Pinar de Chamartín-Valdecarros,5,Tetuán
6,METRO,1,Pinar de Chamartín-Valdecarros,6,Estrecho
7,METRO,1,Pinar de Chamartín-Valdecarros,7,Alvarado
8,METRO,1,Pinar de Chamartín-Valdecarros,8,Cuatro Caminos
9,METRO,1,Pinar de Chamartín-Valdecarros,9,Ríos Rosas
10,METRO,1,Pinar de Chamartín-Valdecarros,10,Iglesia
11,METRO,1,Pinar de Chamartín-Valdecarros,11,Bilbao
12,METRO,1,Pinar de Chamartín-Valdecarros,12,Tribunal
13,METRO,1,Pinar de Chamartín-Valdecarros,13,Gran Vía
14,METRO,1,Pinar de Chamartín-Valdecarros,14,Sol
15,METRO,1,Pinar de Chamartín-Valdecarros,15,Tirso de Molina
16,METRO,1,Pinar de Chamartín-Valdecarros,16,Antón Martín
17,METRO,1,Pinar de Chamartín-Valdecarros,17,Estación del Arte
18,METRO,1,Pinar de Chamartín-Valdecarros,18,Atocha Renfe
19,METRO,1,Pinar de Chamartín-Valdecarros,19,Menéndez Pelayo
20,METRO,1,Pinar de Chamartín-Valdecarros,20,Pacífico
21,METRO,1,Pinar de Chamartín-Valdecarros,21,Puente de Vallecas
22,METRO,1,Pinar de Chamartín-Valdecarros,22,Nueva Numancia
23,METRO,1,Pinar de Chamartín-Valdecarros,23,Portazgo
24,METRO,1,Pinar de Chamartín-Valdecarros,24,Buenos Aires
25,METRO,1,Pinar de Chamartín-Valdecarros,25,Alto del Arenal
26,METRO,1,Pinar de Chamartín-Valdecarros,26,Miguel Hernández
27,METRO,1,Pinar de Chamartín-Valdecarros,27, Sierra de Guadalupe
28,METRO,1,Pinar de Chamartín-Valdecarros,28,Villa de Vallecas
29,METRO,1,Pinar de Chamartín-Valdecarros,29,Congosto
30,METRO,1,Pinar de Chamartín-Valdecarros,30,La Gavia
31,METRO,1,Pinar de Chamartín-Valdecarros,31,Las Suertes
32,METRO,1,Pinar de Chamartín-Valdecarros,32,Valdecarros
0,METRO,2,Las Rosas-Cuatro Caminos,0,Las Rosas
1,METRO,2,Las Rosas-Cuatro Caminos,1,Avenida de Guadalajara
2,METRO,2,Las Rosas-Cuatro Caminos,2,Alsacia
3,METRO,2,Las Rosas-Cuatro Caminos,3,La Almudena
4,METRO,2,Las Rosas-Cuatro Caminos,4,La Elipa
5,METRO,2,Las Rosas-Cuatro Caminos,5,Ventas
6,METRO,2,Las Rosas-Cuatro Caminos,6,Manuel Becerra
7,METRO,2,Las Rosas-Cuatro Caminos,7,Goya
8,METRO,2,Las Rosas-Cuatro Caminos,8,Príncipe de Vergara
9,METRO,2,Las Rosas-Cuatro Caminos,9,Retiro
10,METRO,2,Las Rosas-Cuatro Caminos,10,Banco de España
11,METRO,2,Las Rosas-Cuatro Caminos,11,Sevilla
12,METRO,2,Las Rosas-Cuatro Caminos,12, Sol
13,METRO,2,Las Rosas-Cuatro Caminos,13,Ópera
14,METRO,2,Las Rosas-Cuatro Caminos,14,Santo Domingo
15,METRO,2,Las Rosas-Cuatro Caminos,15,Noviciado
16,METRO,2,Las Rosas-Cuatro Caminos,16,San Bernardo
17,METRO,2,Las Rosas-Cuatro Caminos,17,Quevedo
18,METRO,2,Las Rosas-Cuatro Caminos,18,Canal
19,METRO,2,Las Rosas-Cuatro Caminos,19,Cuatro Caminos
0,METRO,3,Villaverde Alto-Moncloa,0,Villaverde Alto
1,METRO,3,Villaverde Alto-Moncloa,1,San Cristóbal
2,METRO,3,Villaverde Alto-Moncloa,2,Villaverde Bajo - Cruce
3,METRO,3,Villaverde Alto-Moncloa,3,Ciudad de los Ángeles
4,METRO,3,Villaverde Alto-Moncloa,4,San Fermín - Orcasur
5,METRO,3,Villaverde Alto-Moncloa,5,Hospital 12 de Octubre
6,METRO,3,Villaverde Alto-Moncloa,6,Almendrales
7,METRO,3,Villaverde Alto-Moncloa,7,Legazpi
8,METRO,3,Villaverde Alto-Moncloa,8,Delicias
9,METRO,3,Villaverde Alto-Moncloa,9,Palos de la Frontera
10,METRO,3,Villaverde Alto-Moncloa,10,Embajadores
11,METRO,3,Villaverde Alto-Moncloa,11,Lavapiés
12,METRO,3,Villaverde Alto-Moncloa,12,Sol
13,METRO,3,Villaverde Alto-Moncloa,13,Callao
14,METRO,3,Villaverde Alto-Moncloa,14,Plaza de España
15,METRO,3,Villaverde Alto-Moncloa,15,Ventura Rodríguez
16,METRO,3,Villaverde Alto-Moncloa,16,Argüelles
17,METRO,3,Villaverde Alto-Moncloa,17,Moncloa
0,METRO,4,Argüelles-Pinar de Chamartín,0,Argüelles
1,METRO,4,Argüelles-Pinar de Chamartín,1,San Bernardo
2,METRO,4,Argüelles-Pinar de Chamartín,2,Bilbao
3,METRO,4,Argüelles-Pinar de Chamartín,3,Alonso Martínez
4,METRO,4,Argüelles-Pinar de Chamartín,4,Colón
5,METRO,4,Argüelles-Pinar de Chamartín,5,Serrano
6,METRO,4,Argüelles-Pinar de Chamartín,6,Velázquez
7,METRO,4,Argüelles-Pinar de Chamartín,7,Goya
8,METRO,4,Argüelles-Pinar de Chamartín,8,Lista
9,METRO,4,Argüelles-Pinar de Chamartín,9,Diego de León
10,METRO,4,Argüelles-Pinar de Chamartín,10,Avenida de América
11,METRO,4,Argüelles-Pinar de Chamartín,11,Prosperidad
12,METRO,4,Argüelles-Pinar de Chamartín,12,Alfonso XIII
13,METRO,4,Argüelles-Pinar de Chamartín,13,Avenida de la Paz
14,METRO,4,Argüelles-Pinar de Chamartín,14,Arturo Soria
15,METRO,4,Argüelles-Pinar de Chamartín,15,Esperanza
