"X.2","X.1","X","Y","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","cluster","hclust","Cluster_final","target"
1,1,3.7621642125675,22.4450212107916,7129300520,"10/13/2014",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,1,1,"low","0"
4,4,7.58872965013843,18.9677301690809,2487200875,"12/9/2014",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2,1,"low","0"
5,5,0.666181472085254,3.93954832962337,1954400510,"2/18/2015",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,3,3,"med","0"
6,6,-2.65425155380627,-26.7202890208353,7237550310,"5/12/2014",1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,3,4,"med","1"
8,8,-6.72907280369558,9.25893150552865,2008000270,"1/15/2015",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,1,6,"med","0"
9,9,-4.35754882562812,8.89448914589689,2414600126,"4/15/2015",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,1,6,"med","0"
10,10,10.7133500712387,-16.6207576839847,3793500160,"3/12/2015",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,3,5,"low","0"
12,12,-1.447507534534,22.5431210416628,9212900260,"5/27/2014",468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,1,1,"low","0"
14,14,3.28074433117993,-0.257968711606577,6054650070,"10/7/2014",4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,2,3,"med","0"
15,15,-9.57893130235884,20.9877160362107,1175000570,"3/12/2015",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,1,1,"low","0"
16,16,-12.5938270300282,-1.7041181745029,9297300055,"1/24/2015",650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,3,7,"med","1"
17,17,-4.22511618843538,-8.98252563591005,1875500060,"7/31/2014",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,3,8,"top","0"
19,19,21.210821533079,4.33265562481843,16000397,"12/5/2014",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,2,9,"low","0"
25,25,10.2954220894331,-11.409601326714,3814700200,"11/20/2014",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,3,5,"low","0"
26,26,21.0088802008143,4.30201817189363,1202000200,"11/3/2014",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,2,9,"low","0"
29,29,-1.75462537065668,15.75582902958,5101402488,"6/24/2014",438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,1,1,"low","0"
31,31,4.24354330637141,-22.185903414573,8562750320,"11/10/2014",580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,3,4,"med","0"
32,32,-25.556013306334,-8.75853970488685,2426039314,"12/1/2014",280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,1,7,"med","0"
34,34,-4.66698681951822,24.7245590022362,7589200193,"11/10/2014",535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,1,1,"low","0"
35,35,21.3829764351659,-5.31636767897412,7955080270,"12/3/2014",322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,2,9,"low","0"
36,36,-23.5415777617364,10.4294733039002,9547205180,"6/13/2014",696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,1,2,"top","1"
37,37,13.4379535757793,13.7946396002889,9435300030,"5/28/2014",550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,1,1,"low","0"
39,39,23.4239106404615,-0.505705426079946,7895500070,"2/13/2015",240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,2,9,"low","0"
40,40,4.85565172211906,-14.7873684364971,2078500320,"6/20/2014",605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,3,5,"low","0"
42,42,-8.49330946231411,5.48520372582709,7766200013,"8/11/2014",775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,1,6,"med","1"
43,43,-2.83993611684568,-24.4528840784745,7203220400,"7/7/2014",861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,3,4,"med","1"
44,44,-2.92307310768443,26.5866029831799,9270200160,"10/28/2014",685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,1,1,"low","1"
46,46,-1.98694228633533,-21.4034314025431,8035350320,"7/18/2014",488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,3,4,"med","0"
47,47,23.9791621915061,0.454977414202223,8945200830,"3/25/2015",210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,2,9,"low","0"
48,48,-0.684569793026297,-13.8522631980556,4178300310,"7/16/2014",785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,3,8,"top","1"
49,49,-1.2411510243823,24.0580508249726,9215400105,"4/28/2015",450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,1,1,"low","0"
51,51,-8.73748146671377,8.42350605793835,5245600105,"9/16/2014",228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,1,6,"med","0"
52,52,18.7932158263398,6.70225464620553,7231300125,"2/17/2015",345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2,9,"low","0"
53,53,-4.78563237602582,18.3112205506634,7518505990,"12/31/2014",6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,1,1,"low","0"
54,54,-2.93446977526871,9.90587068249646,3626039271,"2/5/2015",585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,1,6,"med","0"
56,56,-15.9104241699671,-12.5452106969399,9822700295,"5/12/2014",885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,3,7,"med","1"
