"","X","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"1",1,7129300520,"10/13/2014",221900,3,1,1180,5650,1,"WF_NO",0,"Co_3_Med","7",1180,0,1955,0,98178,475.112,-122.257,1340,5650
"2",2,6414100192,"12/09/2014",538000,3,2.25,2570,7242,2,"WF_NO",0,"Co_3_Med","7",2170,400,1951,1991,98125,47.721,-122.319,1690,7639
"3",3,5631500400,"2/25/2015",180000,2,1,770,10000,1,"WF_NO",0,"Co_3_Med","6",770,0,1933,0,98028,477.379,-122.233,2720,8062
"4",4,2487200875,"12/09/2014",604000,4,3,1960.04880883993,5000,1,"WF_NO",0,"Co_5_Top","7",1050,910,1965,0,98136,475.208,-122.393,1360,5000
"5",5,1954400510,"2/18/2015",510000,3,2,1680,8080,1,"WF_NO",0,"Co_3_Med","8",1680,0,1987,0,98074,476.168,-122.045,1800,7503
"6",6,7237550310,"05/12/2014",1230000,4,4.5,5420,101930,1,"WF_NO",0,"Co_3_Med","11",3890,1530,2001,0,98053,476.561,-122.005,4760,101930
"7",7,1321400060,"6/27/2014",257500,3,2.25,1715,6819,2,"WF_NO",0,"Co_3_Med","7",1715,0,1995,0,98003,473.097,-122.327,2238,6819
"8",8,2008000270,"1/15/2015",291850,3,1.5,1060,9711,1,"WF_NO",0,"Co_4_High","7",1060,0,1963,0,98198,474.095,-122.315,1650,9711
"9",9,2414600126,"4/15/2015",229500,3,1,1780,7470,1,"WF_NO",0,"Co_3_Med","7",1049.78286252165,730,1960,0,98146,475.123,-122.337,1780,8113
"10",10,3793500160,"03/12/2015",323000,3,2.5,1890,6560,2,"WF_NO",0,"Co_3_Med","7",1890,0,2003,0,98038,473.684,-122.031,2390,7570
"11",11,1736800520,"04/03/2015",662500,3,2.5,3560,9796,1,"WF_NO",0,"Co_3_Med","8",1860,1700,1965,0,98007,476.007,-122.145,2210,8925
