"","X.1","X","Y","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","cluster","hclust","Cluster_final"
"1",1,3.7621642125675,22.4450212107916,7129300520,"10/13/2014",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,1,1,"low"
"2",2,-24.0359753189715,9.76691462827649,6414100192,"12/9/2014",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,1,2,"top"
"3",3,5.21701533117796,8.10267764424834,5631500400,"2/25/2015",180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,1,3,"med"
"4",4,7.58872965013843,18.9677301690809,2487200875,"12/9/2014",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2,1,"low"
"5",5,0.666181472085254,3.93954832962337,1954400510,"2/18/2015",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,3,3,"med"
"6",6,-2.65425155380627,-26.7202890208353,7237550310,"5/12/2014",1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,3,4,"med"
"7",7,15.5619201578346,-13.9262076368746,1321400060,"6/27/2014",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,3,5,"low"
"8",8,-6.72907280369558,9.25893150552865,2008000270,"1/15/2015",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,1,6,"med"
"9",9,-4.35754882562812,8.89448914589689,2414600126,"4/15/2015",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,1,6,"med"
"10",10,10.7133500712387,-16.6207576839847,3793500160,"3/12/2015",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,3,5,"low"
"11",11,8.88757156406785,-0.526039715034899,1736800520,"4/3/2015",662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,2,3,"med"
"12",12,-1.447507534534,22.5431210416628,9212900260,"5/27/2014",468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,1,1,"low"
"13",13,7.5244062531504,7.93973045666793,114101516,"5/28/2014",310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,2,3,"med"
"14",14,3.28074433117993,-0.257968711606577,6054650070,"10/7/2014",4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,2,3,"med"
"15",15,-9.57893130235884,20.9877160362107,1175000570,"3/12/2015",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,1,1,"low"
"16",16,-12.5938270300282,-1.7041181745029,9297300055,"1/24/2015",650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,3,7,"med"
"17",17,-4.22511618843538,-8.98252563591005,1875500060,"7/31/2014",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,3,8,"top"
"18",18,-4.47970517277441,24.8807522769415,6865200140,"5/29/2014",485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,1,1,"low"
"19",19,21.210821533079,4.33265562481843,16000397,"12/5/2014",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,2,9,"low"
"20",20,24.0476930975688,1.67543926458134,7983200060,"4/24/2015",230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,2,9,"low"
"21",21,-6.27794554618711,16.699377474748,6300500875,"5/14/2014",385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,1,1,"low"
"22",22,-5.46124364762537,-0.564358626912072,2524049179,"8/26/2014",2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,3,3,"med"
"23",23,12.9824969281981,-17.8978949915196,7137970340,"7/3/2014",285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,3,5,"low"
"24",24,23.0572469280807,-3.64182905158821,8091400200,"5/16/2014",252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,2,9,"low"
"25",25,10.2954220894331,-11.409601326714,3814700200,"11/20/2014",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,3,5,"low"
"26",26,21.0088802008143,4.30201817189363,1202000200,"11/3/2014",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,2,9,"low"
"27",27,-11.4625885701488,22.058552891447,1794500383,"6/26/2014",937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,1,1,"low"
"28",28,-7.75926072927065,24.3302469510254,3303700376,"12/1/2014",667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,1,1,"low"
"29",29,-1.75462537065668,15.75582902958,5101402488,"6/24/2014",438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,1,1,"low"
"30",30,-4.65119495853762,-13.3095119216237,1873100390,"3/2/2015",719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,3,8,"top"
"31",31,4.24354330637141,-22.185903414573,8562750320,"11/10/2014",580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,3,4,"med"
"32",32,-25.556013306334,-8.75853970488685,2426039314,"12/1/2014",280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,1,7,"med"
"33",33,-9.21409286938116,23.7602965633459,461000390,"6/24/2014",687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,1,1,"low"
"34",34,-4.66698681951822,24.7245590022362,7589200193,"11/10/2014",535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,1,1,"low"
"35",35,21.3829764351659,-5.31636767897412,7955080270,"12/3/2014",322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,2,9,"low"
"36",36,-23.5415777617364,10.4294733039002,9547205180,"6/13/2014",696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,1,2,"top"
"37",37,13.4379535757793,13.7946396002889,9435300030,"5/28/2014",550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,1,1,"low"
"38",38,-9.73390275414557,23.0767361309904,2768000400,"12/30/2014",640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,1,1,"low"
"39",39,23.4239106404615,-0.505705426079946,7895500070,"2/13/2015",240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,2,9,"low"
"40",40,4.85565172211906,-14.7873684364971,2078500320,"6/20/2014",605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,3,5,"low"
"41",41,0.684401948571207,-23.4684002359348,5547700270,"7/15/2014",625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,3,4,"med"
"42",42,-8.49330946231411,5.48520372582709,7766200013,"8/11/2014",775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,1,6,"med"
"43",43,-2.83993611684568,-24.4528840784745,7203220400,"7/7/2014",861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,3,4,"med"
"44",44,-2.92307310768443,26.5866029831799,9270200160,"10/28/2014",685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,1,1,"low"
"45",45,14.6704694253315,5.8035339023317,1432701230,"7/29/2014",309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,2,9,"low"
"46",46,-1.98694228633533,-21.4034314025431,8035350320,"7/18/2014",488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,3,4,"med"
"47",47,23.9791621915061,0.454977414202223,8945200830,"3/25/2015",210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,2,9,"low"
"48",48,-0.684569793026297,-13.8522631980556,4178300310,"7/16/2014",785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,3,8,"top"
"49",49,-1.2411510243823,24.0580508249726,9215400105,"4/28/2015",450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,1,1,"low"
"50",50,-17.3783920571371,5.20430969687941,822039084,"3/11/2015",1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,2,2,"top"
"51",51,-8.73748146671377,8.42350605793835,5245600105,"9/16/2014",228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,1,6,"med"
"52",52,18.7932158263398,6.70225464620553,7231300125,"2/17/2015",345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2,9,"low"
"53",53,-4.78563237602582,18.3112205506634,7518505990,"12/31/2014",6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,1,1,"low"
"54",54,-2.93446977526871,9.90587068249646,3626039271,"2/5/2015",585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,1,6,"med"
"55",55,-11.1918651202576,25.1105886178887,4217401195,"3/3/2015",920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,1,1,"low"
"56",56,-15.9104241699671,-12.5452106969399,9822700295,"5/12/2014",885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,3,7,"med"
"57",57,11.5624178895088,-21.8643564413517,9478500640,"8/19/2014",292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,3,5,"low"
"58",58,9.5050989557298,-15.8517944579434,2799800710,"4/7/2015",301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,3,5,"low"
"59",59,-5.23023391021633,-3.11899729474195,7922800400,"8/27/2014",951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,3,3,"med"
"60",60,6.26519478732032,-21.6272759071783,8079040320,"2/23/2015",430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,3,4,"med"
