stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
est_90_21,21,Intercambiador de Plaza de Castilla,Paseo de la Castellana 189,40.4669,-3.6892,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_25,25,Chamartín,Calle de Agustín de Foxá 40,40.4721,-3.68269,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_54,54,Atocha-Renfe,Avda de la Ciudad de Barcelona 2 B,40.40659,-3.6894400000000003,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_58,58,Puerta del Sol,Plaza de la Puerta del Sol 6,40.41688,-3.7033099999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_10,10,TRIBUNAL,Calle de Fuencarral 81,40.426190000000005,-3.7011,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_11,11,GRAN VIA,Calle   Gran Vía 23,40.42001,-3.7018,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_13,13,TIRSO DE MOLINA,Plaza de Tirso de Molina 7,40.41235,-3.70466,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_14,14,ANTON MARTIN,Calle de Atocha 50,40.412459999999996,-3.6993699999999996,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_15,15,ESTACION DEL ARTE,Plaza del Emperador Carlos V 11,40.40885,-3.6924900000000003,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_17,17,MENENDEZ PELAYO,Avda de la Ciudad de Barcelona 23,40.40445,-3.6809800000000004,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_18,18,PACIFICO,Avda de la Ciudad de Barcelona 79,40.40126,-3.6751400000000003,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_19,19,PUENTE DE VALLECAS,Avda de la Albufera 1,40.39819,-3.66906,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_2,2,VALDEACEDERAS,Calle de Bravo Murillo 332,40.464420000000004,-3.69506,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_20,20,NUEVA NUMANCIA,Avda de la Albufera 70,40.395540000000004,-3.66414,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_21,21,PORTAZGO,Avda de la Albufera 131,40.39266,-3.6586800000000004,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_22,22,BUENOS AIRES,Avda de la Albufera 179,40.39156,-3.6539099999999998,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_23,23,ALTO DEL ARENAL,Calle de Santillana del Mar 21,40.38977,-3.6452199999999997,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_24,24,MIGUEL HERNANDEZ,Calle de León Felipe 4 A,40.38732,-3.63951,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_25,25,SIERRA DE GUADALUPE,Avda de la Democracia 1,40.38216,-3.6247199999999995,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_26,26,VILLA DE VALLECAS,Paseo de Federico García Lorca 2,40.3796,-3.6213,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_262,262,BAMBU,Calle del Bambú 14,40.476820000000004,-3.67637,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_263,263,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.480140000000006,-3.6668,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_27,27,CONGOSTO,Calle del Congosto 48,40.37238,-3.61884,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_293,293,LA GAVIA,Avda del Ensanche de Vallecas 16,40.37019,-3.61346,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_294,294,LAS SUERTES,Calle de Cañada del Santísimo 45,40.36323,-3.59953,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_295,295,VALDECARROS,Avda del Ensanche de Vallecas 120 A,40.36007,-3.5931599999999997,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_3,3,TETUAN,Calle de Bravo Murillo 264,40.46055,-3.69825,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_4,4,ESTRECHO,Calle de Bravo Murillo 191,40.45429,-3.7030199999999995,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_5,5,ALVARADO,Calle de Bravo Murillo 138,40.45033,-3.7033099999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_6,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.7039699999999995,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_7,7,RIOS ROSAS,Calle de Ríos Rosas 22,40.44198,-3.7013300000000005,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_8,8,IGLESIA,Gta del Pintor Sorolla 2,40.43492,-3.69898,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_9,9,BILBAO,Calle de Sagasta 2,40.42906,-3.7021800000000002,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_260,260,LA ELIPA,Avda del Marqués de Corbera 58,40.42662,-3.6505199999999998,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_28,28,VENTAS,Calle de Alcalá 204,40.43088,-3.6636599999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_29,29,MANUEL BECERRA,Plaza de Manuel Becerra 1,40.4279,-3.66926,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_30,30,GOYA,Calle de Alcalá 96,40.42455,-3.67591,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_31,31,PRINCIPE DE VERGARA,Calle de Alcalá 123,40.422940000000004,-3.6801199999999996,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_32,32,RETIRO,Calle de Alcalá 81,40.42031,-3.68624,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_322,322,LA ALMUDENA,Calle de Arriaga 75,40.42361,-3.6391400000000003,,http://www.crtm.es,1,,Europe/Madrid,0
est_4_323,323,ALSACIA,Plaza de Alsacia S/N,40.41829,-3.62351,,http://www.crtm.es,1,,Europe/Madrid,0
est_4_324,324,AVENIDA DE GUADALAJARA,Avda de Guadalajara 110,40.42239,-3.61206,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_325,325,LAS ROSAS,Paseo de Ginebra 35,40.42375,-3.60331,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_33,33,BANCO DE ESPAÑA,Calle de Alcalá 49,40.41922,-3.6949699999999996,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_36,36,OPERA,Plaza de Isabel II 9,40.41809,-3.7094199999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_37,37,SANTO DOMINGO,Calle de San Bernardo 11,40.42132,-3.70796,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_39,39,SAN BERNARDO,Calle de San Bernardo 94,40.430009999999996,-3.70557,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_40,40,QUEVEDO,Gta de Quevedo 1,40.43322,-3.70433,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_41,41,CANAL,Calle de Bravo Murillo 40,40.43841,-3.70433,A,http://www.crtm.es,1,,Europe/Madrid,2
est_90_14,14,Intercambiador de Moncloa,Plaza de la Moncloa 1,40.43523,-3.71919,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_267,267,ALMENDRALES,Avda de Córdoba 21,40.38409,-3.6978800000000005,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_268,268,HOSPITAL 12 DE OCTUBRE,Avda de Córdoba 49,40.375029999999995,-3.69585,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_269,269,SAN FERMIN-ORCASUR,Avda de Andalucía 9,40.36999,-3.6941800000000002,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_270,270,CIUDAD DE LOS ANGELES,Avda de Andalucía 38,40.359590000000004,-3.69363,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_271,271,VILLAVERDE BAJO-CRUCE,Avda de Andalucía 38,40.35089,-3.69265,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_272,272,SAN CRISTOBAL,Avda de Andalucía 81,40.34154,-3.6931800000000004,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_273,273,VILLAVERDE ALTO,Calle del Valle de Tobalina 56,40.341229999999996,-3.71199,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_43,43,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.6951099999999997,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_44,44,DELICIAS,Paseo de las Delicias 60,40.3999,-3.6942,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_45,45,PALOS DE LA FRONTERA,Calle de Palos de la Frontera 33,40.40307,-3.69423,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_46,46,EMBAJADORES,Gta de Embajadores 10,40.40513,-3.7026800000000004,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_47,47,LAVAPIES,Plaza de Lavapiés 7,40.40851,-3.7009,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_49,49,CALLAO,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_50,50,PLAZA DE ESPAÑA,Plaza de España 1,40.42342,-3.7112,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_51,51,VENTURA RODRIGUEZ,Calle de la Princesa 22,40.42709,-3.7134099999999997,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_52,52,ARGÜELLES,Calle de Alberto Aguilera 72,40.430659999999996,-3.71596,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_4,4,Intercambiador de Avenida de América,Avda de América 9 A,40.43803,-3.6766900000000002,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_264,264,HORTALEZA,Calle del Capitán Cortés 4,40.47537,-3.65257,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_265,265,MANOTERAS,Calle de Bacares 24,40.47687,-3.6629,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_57,57,ALONSO MARTINEZ,Plaza de Alonso Martínez 4,40.42772,-3.6959400000000002,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_58,58,COLON,Plaza de Colón 2,40.42542,-3.69101,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_59,59,SERRANO,Calle de Goya 19,40.42543,-3.68663,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_60,60,VELAZQUEZ,Calle de Núñez de Balboa 33,40.42503,-3.6829199999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_62,62,LISTA,Calle del Conde de Peñalver 45,40.42917,-3.67541,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_65,65,PROSPERIDAD,Plaza de la Prosperidad 4,40.44419,-3.6748199999999995,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_66,66,ALFONSO XIII,Calle de López de Hoyos 190,40.44825,-3.66791,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_67,67,AVENIDA DE LA PAZ,Avda de Ramón y Cajal 107,40.453540000000004,-3.6611800000000003,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_68,68,ARTURO SORIA,Calle de Arturo Soria 172,40.45583,-3.6561800000000004,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_69,69,ESPERANZA,Calle de Andorra 51,40.45945,-3.6458199999999996,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_70,70,CANILLAS,Avda de Machupichu 64,40.463809999999995,-3.6356,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_71,71,MAR DE CRISTAL,Gta del Mar de Cristal 1 B,40.469429999999996,-3.6383199999999998,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_72,72,SAN LORENZO,Avda de la Barranquilla 9,40.474470000000004,-3.6395800000000005,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_73,73,PARQUE DE SANTA MARIA,Calle de Santa Virgilia 1,40.477109999999996,-3.6452400000000003,A,http://www.crtm.es,1,,Europe/Madrid,2
est_90_1,1,Aluche,Calle de Valmojado 293,40.38563,-3.76085,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_101,101,EMPALME,Calle de Tembleque 105,40.390570000000004,-3.76535,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_102,102,CAMPAMENTO,Avda del Padre Piquer 7,40.39481,-3.76813,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_103,103,CASA DE CAMPO,Ctra del Zoo 1,40.403240000000004,-3.7610099999999997,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_252,252,ALAMEDA DE OSUNA,Calle de la Corbeta 14,40.45779,-3.5875199999999996,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_253,253,EL CAPRICHO,Calle de Pinos de Osuna 15,40.45347,-3.59401,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_74,74,CANILLEJAS,Calle de Alcalá 631,40.44942,-3.60816,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_75,75,TORRE ARIAS,Calle de Alcalá 557,40.443740000000005,-3.61699,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_76,76,SUANZES,Calle de Alcalá 527,40.44085,-3.62684,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_77,77,CIUDAD LINEAL,Calle de Arturo Soria 2,40.43805,-3.63816,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_78,78,PUEBLO NUEVO,Calle de Alcalá 372,40.43569,-3.6428199999999995,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_79,79,QUINTANA,Calle de la Virgen del Sagrario 2,40.43358,-3.64736,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_80,80,EL CARMEN,Calle de Raquel Méller 2,40.43189,-3.6575699999999998,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_83,83,NUÑEZ DE BALBOA,Calle de Juan Bravo 20,40.43278,-3.68258,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_84,84,RUBEN DARIO,Paseo de Eduardo Dato 33,40.43316,-3.68954,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_86,86,CHUECA,Plaza de Chueca 7,40.42293,-3.6976199999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_90,90,LA LATINA,Calle de San Millán 5,40.41128,-3.70816,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_91,91,PUERTA DE TOLEDO,Gta de Puerta de Toledo 1,40.40704,-3.71105,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_93,93,PIRAMIDES,Paseo del Doctor Vallejo Nágera 37,40.4026,-3.71138,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_94,94,MARQUES DE VADILLO,Gta del Marqués de Vadillo 4,40.39736,-3.71596,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_95,95,URGEL,Calle del Camino Viejo de Leganés 1,40.39335,-3.7236,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_96,96,OPORTO,Gta del Valle de Oro 13,40.388459999999995,-3.7313199999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_97,97,VISTA ALEGRE,Calle de la Oca 74,40.38885,-3.73982,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_98,98,CARABANCHEL,Gta del Ejército 1,40.38783,-3.7448699999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_99,99,EUGENIA DE MONTIJO,Calle de Ocaña 86,40.38439,-3.75121,A,http://www.crtm.es,1,,Europe/Madrid,2
est_90_13,13,Méndez Álvaro Estación Sur,Calle del Ombu 16,40.395379999999996,-3.6781900000000003,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_18,18,Intercambiador de Príncipe Pío,Paseo de la Florida 2,40.42107,-3.7203699999999995,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_36,36,Intercambiador de Plaza Elíptica,Calle  Vía Lusitana 2,40.3846,-3.7184800000000005,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_71,71,Nuevos Ministerios,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_104,104,LAGUNA,Calle de Cuart de Poblet 1,40.399229999999996,-3.7442900000000003,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_105,105,CARPETANA,Calle   Vía Carpetana 141,40.3927,-3.74099,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_107,107,OPAÑEL,Calle del Valle de Oro 50 A,40.3869,-3.7231300000000003,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_109,109,USERA,Calle de Amparo Usera 44,40.3871,-3.7069,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_113,113,CONDE DE CASAL,Plaza del Conde de Casal 3,40.40697,-3.67041,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_114,114,SAINZ DE BARANDA,Calle del Doctor Esquerdo 103,40.41507,-3.66951,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_115,115,ODONNELL,Calle del Doctor Esquerdo 47,40.42289,-3.6686,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_119,119,REPUBLICA ARGENTINA,Calle de Joaquín Costa 24,40.44379,-3.6840599999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_122,122,GUZMAN EL BUENO,Calle de Guzmán el Bueno 118,40.44637,-3.7122900000000003,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_123,123,VICENTE ALEIXANDRE,Avda de Gregorio del Amo 4,40.44644,-3.7194300000000005,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_124,124,CIUDAD UNIVERSITARIA,Avda  Complutense 1,40.44356,-3.72678,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_128,128,PUERTA DEL ANGEL,Paseo de Extremadura 26,40.4139,-3.72724,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_129,129,ALTO DE EXTREMADURA,Paseo de Extremadura 154,40.409929999999996,-3.73894,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_130,130,LUCERO,Calle de las Higueras 47,40.4051,-3.74534,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_259,259,ARGANZUELA-PLANETARIO,Calle del Bronce 1 A,40.3931,-3.6886400000000004,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_132,132,LAS MUSAS,,40.432990000000004,-3.60788,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_133,133,SAN BLAS,,40.42799,-3.6154699999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_134,134,SIMANCAS,,40.42799,-3.62572,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_135,135,GARCIA NOBLEJAS,,40.42842,-3.6333,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_136,136,ASCAO,,40.430209999999995,-3.64106,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_138,138,BARRIO DE LA CONCEPCION,,40.4391,-3.6519999999999997,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_139,139,PARQUE DE LAS AVENIDAS,,40.43945,-3.6629699999999996,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_140,140,CARTAGENA,,40.43934,-3.67215,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_142,142,GREGORIO MARAÑON,,40.43825,-3.6914800000000003,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_143,143,ALONSO CANO,,40.43838,-3.69925,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_145,145,ISLAS FILIPINAS,,40.43907,-3.7137300000000004,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_147,147,FRANCOS RODRIGUEZ,,40.45648,-3.71239,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_148,148,VALDEZARZA,,40.46482,-3.7159699999999996,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_149,149,ANTONIO MACHADO,,40.47022,-3.71769,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_150,150,PEÑAGRANDE,,40.47592,-3.71582,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_151,151,AVDA. DE LA ILUSTRACION,,40.4801,-3.7184,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_152,152,LACOMA,,40.48502,-3.72305,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_153,153,ARROYOFRESNO,,40.4909,-3.7260400000000002,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_154,154,PITIS,,40.49511,-3.72589,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_286,286,ESTADIO METROPOLITANO,Avda de Arcentales 28,40.43339,-3.60015,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_287,287,BARRIO DEL PUERTO,Avda de España 8,40.4225,-3.5691900000000003,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_288,288,COSLADA CENTRAL,Calle del Doctor Fleming 41,40.42374,-3.5611900000000003,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_289,289,LA RAMBLA,Calle   Honduras 2,40.42514,-3.5479199999999995,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_290,290,SAN FERNANDO,Calle de Gonzalo de Córdoba 24,40.424409999999995,-3.5354099999999997,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_291,291,JARAMA,Plaza   Guernica 1,40.42295,-3.52549,B1,http://www.crtm.es,1,,Europe/Madrid,2
